ID,Requirement ID,User Story,Description,Solution
US-001,2.1.1.1,"As a Guest/User, I want to Sign In (Email/Password), so that I can use the system effectively.",Users need to access their account to use personalized features.,"Implement Login API (JWT), validate credentials, handle errors (401), store token in client."
US-002,2.1.1.2,"As a Guest/User, I want to Sign In (OAuth - Google), so that I can use the system effectively.",Users need to access their account to use personalized features.,"Implement Login API (JWT), validate credentials, handle errors (401), store token in client."
US-003,2.1.1.3,"As a Guest/User, I want to Reset Password, so that I can use the system effectively.",Users may forget passwords and need recovery options.,"Implement Forgot Password flow (Email OTP/Link), verify OTP, allow password update."
US-004,2.1.1.4,"As a Guest/User, I want to Log out, so that I can use the system effectively.",Users need to securely end their session.,"Clear client-side LocalStorage/Cookies, optionally blacklist token on server."
US-005,2.1.2.1,"As a Authenticated User, I want to Adjust User Profile, so that I can use the system effectively.",Users want to customize their online persona.,"UpdateProfile API, handle avatar upload, update DB columns."
US-006,2.1.2.2,"As a Guest/User, I want to Create User Profile (Sign up), so that add new content.",New users need to create an account to join the platform.,"Implement Registration API, validate input (email/pass strength), hash password, create User record."
US-007,2.1.2.3,"As a Authenticated User, I want to Update User Profile (Avatar, Bio, Cover Photo), so that I can use the system effectively.",Users want to customize their online persona.,"UpdateProfile API, handle avatar upload, update DB columns."
US-008,2.1.2.4,"As a Authenticated User, I want to Delete User Profile, so that I can use the system effectively.",,
US-009,2.1.2.5,"As a Authenticated User, I want to Search User Profile, so that I can use the system effectively.",Users want to find other people.,Search User API by name/email.
US-010,2.1.2.6,"As a Authenticated User, I want to View Other User Profile, so that access information.",Users want to see their own or others' information.,"GetProfile API, return DTO with follower counts, bio, avatar."
US-011,2.1.2.7,"As a Authenticated User, I want to Manage privacy settings, so that keep data organized.",Users want to control who sees their content.,Update PrivacySettings column (JSON/Fields) in User table.
US-012,2.1.3.1,"As a Authenticated User, I want to Adjust Post, so that I can use the system effectively.",,
US-013,2.1.3.2,"As a Authenticated User, I want to Create Post, so that add new content.","Users want to share moments with text, images, or video.","Create Post API (Multipart/Form-data), upload media to Cloudinary, save metadata to DB."
US-014,2.1.3.3,"As a Authenticated User, I want to Update Post, so that I can use the system effectively.",Users want to correct or modify their published content.,"Update Post API, validate ownership, update DB records."
US-015,2.1.3.4,"As a Authenticated User, I want to Delete Post, so that I can use the system effectively.",Users want to remove content they no longer want shared.,"Soft-delete Post API (IsDeleted=1), remove from feeds."
US-016,2.1.3.5,"As a Authenticated User, I want to Search Post, so that I can use the system effectively.",Users want to find specific content using keywords or semantic meaning.,"Integrate Vector Search (Qdrant) or Text Search (Postgres ILIKE), return ranked results."
US-017,2.1.3.6,"As a Authenticated User, I want to View Post NewsFeed, so that access information.",Users want to see updates from friends or trending content.,"Implement GetNewsfeed/GetExplore APIs with pagination (cursor-based), filter by privacy."
US-018,2.1.3.7,"As a Authenticated User, I want to View Explore Feed, so that access information.",Allow Authenticated User to perform View Explore Feed to achieve their goals.,Implement corresponding Frontend UI and Backend API Controller methods.
US-019,2.1.3.8,"As a Authenticated User, I want to Share Post, so that I can use the system effectively.",,
US-020,2.1.3.9,"As a Authenticated User, I want to Hide Post, so that I can use the system effectively.",Users want to hide specific post.,"Add to HiddenPosts table, exclude from query."
US-021,2.1.3.10,"As a Authenticated User, I want to Restore Post, so that I can use the system effectively.",Users want to archive specific post.,Toggle IsArchived flag.
US-022,2.1.3.11,"As a Authenticated User, I want to Archive Post, so that I can use the system effectively.",Users want to archive specific post.,Toggle IsArchived flag.
US-023,2.1.3.12,"As a Authenticated User, I want to Unarchived Post, so that I can use the system effectively.",Users want to archive specific post.,Toggle IsArchived flag.
US-024,2.1.3.13,"As a Authenticated User, I want to React to Post, so that I can use the system effectively.",Users want to express emotions on content.,"Toggle Reaction API, update counts, send notification to owner."
US-025,2.1.4.1,"As a Authenticated User, I want to Adjust Comment, so that I can use the system effectively.",Allow Authenticated User to perform Adjust Comment to achieve their goals.,Implement corresponding Frontend UI and Backend API Controller methods.
US-026,2.1.4.2,"As a Authenticated User, I want to Create Comment, so that add new content.",Allow Authenticated User to perform Create Comment to achieve their goals.,Implement corresponding Frontend UI and Backend API Controller methods.
US-027,2.1.4.3,"As a Authenticated User, I want to Reply to Comment, so that I can use the system effectively.",Allow Authenticated User to perform Reply to Comment to achieve their goals.,Implement corresponding Frontend UI and Backend API Controller methods.
US-028,2.1.4.4,"As a Authenticated User, I want to Update Comment, so that I can use the system effectively.",Allow Authenticated User to perform Update Comment to achieve their goals.,Implement corresponding Frontend UI and Backend API Controller methods.
US-029,2.1.4.5,"As a Authenticated User, I want to Delete Comment, so that I can use the system effectively.",Allow Authenticated User to perform Delete Comment to achieve their goals.,Implement corresponding Frontend UI and Backend API Controller methods.
US-030,2.1.5.1,"As a Authenticated User, I want to Adjust Collection, so that I can use the system effectively.",Allow Authenticated User to perform Adjust Collection to achieve their goals.,Implement corresponding Frontend UI and Backend API Controller methods.
US-031,2.1.5.2,"As a Authenticated User, I want to Create Collection, so that add new content.",Allow Authenticated User to perform Create Collection to achieve their goals.,Implement corresponding Frontend UI and Backend API Controller methods.
US-032,2.1.5.3,"As a Authenticated User, I want to Update Collection, so that I can use the system effectively.",Allow Authenticated User to perform Update Collection to achieve their goals.,Implement corresponding Frontend UI and Backend API Controller methods.
US-033,2.1.5.4,"As a Authenticated User, I want to Delete Collection, so that I can use the system effectively.",Allow Authenticated User to perform Delete Collection to achieve their goals.,Implement corresponding Frontend UI and Backend API Controller methods.
US-034,2.1.5.5,"As a Authenticated User, I want to React/Unreact to Collection, so that I can use the system effectively.",Allow Authenticated User to perform React/Unreact to Collection to achieve their goals.,Implement corresponding Frontend UI and Backend API Controller methods.
US-035,2.1.5.6,"As a Authenticated User, I want to Add Post to Collection, so that I can use the system effectively.",,
US-036,2.1.6.1,"As a Authenticated User, I want to Adjust Friend, so that I can use the system effectively.",Allow Authenticated User to perform Adjust Friend to achieve their goals.,Implement corresponding Frontend UI and Backend API Controller methods.
US-037,2.1.6.2,"As a Authenticated User, I want to View friend list, so that access information.",Allow Authenticated User to perform View friend list to achieve their goals.,Implement corresponding Frontend UI and Backend API Controller methods.
US-038,2.1.6.3,"As a Authenticated User, I want to Add Friend (Create follow), so that add new content.",Allow Authenticated User to perform Add Friend (Create follow) to achieve their goals.,Implement corresponding Frontend UI and Backend API Controller methods.
US-039,2.1.6.4,"As a Authenticated User, I want to Delete Friend (Unfollow), so that I can use the system effectively.",Allow Authenticated User to perform Delete Friend (Unfollow) to achieve their goals.,Implement corresponding Frontend UI and Backend API Controller methods.
US-040,2.1.6.5,"As a Authenticated User, I want to Search Friend, so that I can use the system effectively.",Allow Authenticated User to perform Search Friend to achieve their goals.,Implement corresponding Frontend UI and Backend API Controller methods.
US-041,2.1.6.6,"As a Authenticated User, I want to Block User, so that I can use the system effectively.",Allow Authenticated User to perform Block User to achieve their goals.,Implement corresponding Frontend UI and Backend API Controller methods.
